league_key,franchise_id,owner_id
cbs-bsb,1,cbs-julian-sherman
cbs-bsb,4,cbs-barry-sexton
cbs-bsb,4,cbs-solomon-delgado
cbs-bsb,6,cbs-dexter-nash
cbs-bsb,10,cbs-abel-holbrook
cbs-bsb,12,cbs-duncan-monroe
cbs-bsb,16,cbs-jonah-bancroft
cbs-bsb,16,cbs-spencer-trevino
cbs-bsb,18,cbs-jarrett-fairbanks
cbs-bsb,21,cbs-lj-crane
cbs-bsb,24,cbs-marcus-draper
cbs-bsb,27,cbs-oscar-kessler
cbs-bsb,28,cbs-joel-kimball
cbs-bsb,29,cbs-preston-larkin
cbs-bsb,29,cbs-tobias-fielder
cbs-bsb,30,cbs-desmond-foster
cbs-bsb,32,cbs-malcolm-keating
cbs-bsb,33,cbs-gavin-corbett
cbs-bsb,34,cbs-miles-paxton
